name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_name,is_verified
AISI 1030 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1030,ASTM A29,7.87,435,465,275,305,29.0,145 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C30 (EN),"Fe ~99%, C 0.30%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1030 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1030,ASTM A108,7.87,540,562,406,420,17.4,174 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C30E (EN),"Fe ~99%, C 0.30%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1035 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1035,ASTM A29,7.87,460,490,295,325,27.5,152 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C35 (EN),"Fe ~99%, C 0.35%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1035 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1035,ASTM A108,7.87,570,593,434,449,16.5,183 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C35E (EN),"Fe ~99%, C 0.35%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1040 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1040,ASTM A29,7.87,485,515,315,345,26.0,160 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C40 (EN),"Fe ~99%, C 0.40%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1040 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1040,ASTM A108,7.87,600,625,461,478,15.6,192 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C40E (EN),"Fe ~99%, C 0.40%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1045 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1045,ASTM A29,7.87,510,540,335,365,24.5,167 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C45 (EN),"Fe ~99%, C 0.45%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1045 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1045,ASTM A108,7.87,630,656,489,507,14.7,201 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C45E (EN),"Fe ~99%, C 0.45%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1050 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1050,ASTM A29,7.87,535,565,355,385,23.0,175 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C50 (EN),"Fe ~99%, C 0.50%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1050 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1050,ASTM A108,7.87,660,687,518,536,13.8,210 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C50E (EN),"Fe ~99%, C 0.50%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1055 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1055,ASTM A29,7.87,560,590,375,405,21.5,182 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C55 (EN),"Fe ~99%, C 0.55%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1055 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1055,ASTM A108,7.87,690,718,546,565,12.9,219 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C55E (EN),"Fe ~99%, C 0.55%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1060 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1060,ASTM A29,7.87,585,615,395,425,20.0,190 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C60 (EN),"Fe ~99%, C 0.60%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1060 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1060,ASTM A108,7.87,720,750,574,594,12.0,228 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C60E (EN),"Fe ~99%, C 0.60%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1080 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1080,ASTM A29,7.87,685,715,475,505,14.0,220 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C80 (EN),"Fe ~99%, C 0.80%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1080 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1080,ASTM A108,7.87,840,875,686,710,8.4,264 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C80E (EN),"Fe ~99%, C 0.80%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 1095 Carbon Steel (Hot Rolled),Metal,Carbon Steel,1095,ASTM A29,7.87,760,790,535,565,9.5,242 HB,200,50,486,1420,1520,400,60,80,INR,"Gears, shafts, axles, bolts, structural components",C95 (EN),"Fe ~99%, C 0.95%, Mn 0.40%",Standard plain carbon steel in hot-rolled condition.,ASM Handbook,True
AISI 1095 Carbon Steel (Cold Drawn),Metal,Carbon Steel,1095,ASTM A108,7.87,930,968,770,797,5.7,291 HB,200,50,486,1420,1520,400,80,110,INR,"Machined parts, fasteners, pins",C95E (EN),"Fe ~99%, C 0.95%, Mn 0.40%",Standard plain carbon steel in cold-drawn condition.,ASM Handbook,True
AISI 4130 Alloy Steel (Annealed),Metal,Alloy Steel,4130,ASTM A322,7.85,670,737,435,478,25.0,195 HB,205,42,475,1415,1500,500,90,130,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, annealed condition.",ASM Handbook,True
AISI 4130 Alloy Steel (Normalized),Metal,Alloy Steel,4130,ASTM A322,7.85,804,884,522,574,20.0,195 HB,205,42,475,1415,1500,500,90,130,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, normalized condition.",ASM Handbook,True
AISI 4130 Alloy Steel (Quenched & Tempered (Q&T)),Metal,Alloy Steel,4130,ASTM A322,7.85,1072,1179,783,861,12.5,195 HB,205,42,475,1415,1500,500,90,130,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, quenched & tempered (q&t) condition.",ASM Handbook,True
AISI 4140 Alloy Steel (Annealed),Metal,Alloy Steel,4140,ASTM A322,7.85,655,720,415,456,25.0,197 HB,205,42,475,1415,1500,500,95,135,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, annealed condition.",ASM Handbook,True
AISI 4140 Alloy Steel (Normalized),Metal,Alloy Steel,4140,ASTM A322,7.85,786,864,498,547,20.0,197 HB,205,42,475,1415,1500,500,95,135,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, normalized condition.",ASM Handbook,True
AISI 4140 Alloy Steel (Quenched & Tempered (Q&T)),Metal,Alloy Steel,4140,ASTM A322,7.85,1048,1152,747,821,12.5,197 HB,205,42,475,1415,1500,500,95,135,INR,"Aerospace, automotive, high-strength structural (Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Chromium-Molybdenum alloy steel, quenched & tempered (q&t) condition.",ASM Handbook,True
AISI 4340 Alloy Steel (Annealed),Metal,Alloy Steel,4340,ASTM A322,7.85,745,819,470,517,22.0,217 HB,205,42,475,1415,1500,500,120,160,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, annealed condition.",ASM Handbook,True
AISI 4340 Alloy Steel (Normalized),Metal,Alloy Steel,4340,ASTM A322,7.85,894,983,564,620,17.6,217 HB,205,42,475,1415,1500,500,120,160,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, normalized condition.",ASM Handbook,True
AISI 4340 Alloy Steel (Quenched & Tempered (Q&T)),Metal,Alloy Steel,4340,ASTM A322,7.85,1192,1311,846,930,11.0,217 HB,205,42,475,1415,1500,500,120,160,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, quenched & tempered (q&t) condition.",ASM Handbook,True
AISI 8620 Alloy Steel (Annealed),Metal,Alloy Steel,8620,ASTM A322,7.85,530,583,385,423,31.0,149 HB,205,42,475,1415,1500,500,100,140,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, annealed condition.",ASM Handbook,True
AISI 8620 Alloy Steel (Normalized),Metal,Alloy Steel,8620,ASTM A322,7.85,636,699,462,508,24.8,149 HB,205,42,475,1415,1500,500,100,140,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, normalized condition.",ASM Handbook,True
AISI 8620 Alloy Steel (Quenched & Tempered (Q&T)),Metal,Alloy Steel,8620,ASTM A322,7.85,848,932,693,762,15.5,149 HB,205,42,475,1415,1500,500,100,140,INR,"Aerospace, automotive, high-strength structural (Nickel-Chromium-Molybdenum)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","Nickel-Chromium-Molybdenum alloy steel, quenched & tempered (q&t) condition.",ASM Handbook,True
AISI 52100 Alloy Steel (Quenched & Tempered (Q&T)),Metal,Alloy Steel,52100,ASTM A322,7.85,2480,2728,2520,2772,2.5,60 HRC,205,42,475,1415,1500,500,150,200,INR,"Aerospace, automotive, high-strength structural (High Carbon Chromium)",-,"Fe balance, alloyed with Cr, Mo, Ni based on grade","High Carbon Chromium alloy steel, quenched & tempered (q&t) condition.",ASM Handbook,True
AISI 304 Stainless Steel,Metal,Stainless Steel,304,ASTM A240,8.0,515,595,205,275,40,88 HRB,193,16.2,500,1370,1450,870,250,320,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 304L Stainless Steel,Metal,Stainless Steel,304L,ASTM A240,8.0,485,565,170,240,40,85 HRB,193,16.2,500,1370,1450,870,260,340,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 316 Stainless Steel,Metal,Stainless Steel,316,ASTM A240,8.0,515,595,205,275,40,95 HRB,193,16.3,500,1370,1450,870,350,450,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 316L Stainless Steel,Metal,Stainless Steel,316L,ASTM A240,8.0,485,565,170,240,40,90 HRB,193,16.3,500,1370,1450,870,360,460,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 310 Stainless Steel,Metal,Stainless Steel,310,ASTM A240,8.0,515,595,205,275,40,95 HRB,193,14.2,500,1370,1450,870,450,550,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 321 Stainless Steel,Metal,Stainless Steel,321,ASTM A240,8.0,515,595,205,275,40,95 HRB,193,16.1,500,1370,1450,870,350,420,INR,"Food processing, chemical, marine, architectural (Austenitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard austenitic stainless steel.,ASTM Standards,True
AISI 410 Stainless Steel,Metal,Stainless Steel,410,ASTM A240,7.75,480,560,275,345,20,96 HRB,200,24.9,500,1370,1450,650,180,240,INR,"Food processing, chemical, marine, architectural (Martensitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard martensitic stainless steel.,ASTM Standards,True
AISI 420 Stainless Steel,Metal,Stainless Steel,420,ASTM A240,7.75,655,735,345,415,25,50 HRC,200,24.9,500,1370,1450,650,200,260,INR,"Food processing, chemical, marine, architectural (Martensitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard martensitic stainless steel.,ASTM Standards,True
AISI 430 Stainless Steel,Metal,Stainless Steel,430,ASTM A240,7.75,450,530,205,275,22,89 HRB,200,26.1,500,1370,1450,650,150,210,INR,"Food processing, chemical, marine, architectural (Ferritic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard ferritic stainless steel.,ASTM Standards,True
AISI 440C Stainless Steel,Metal,Stainless Steel,440C,ASTM A240,7.75,760,840,450,520,14,58 HRC,200,24.2,500,1370,1450,650,300,400,INR,"Food processing, chemical, marine, architectural (Martensitic)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard martensitic stainless steel.,ASTM Standards,True
AISI 17-4 PH Stainless Steel,Metal,Stainless Steel,17-4 PH,ASTM A240,7.75,1070,1150,1000,1070,10,35 HRC,200,17.9,500,1370,1450,650,400,550,INR,"Food processing, chemical, marine, architectural (Precipitation Hardening)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard precipitation hardening stainless steel.,ASTM Standards,True
AISI 15-5 PH Stainless Steel,Metal,Stainless Steel,15-5 PH,ASTM A240,7.75,1000,1080,930,1000,10,33 HRC,200,17.8,500,1370,1450,650,450,600,INR,"Food processing, chemical, marine, architectural (Precipitation Hardening)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard precipitation hardening stainless steel.,ASTM Standards,True
AISI Duplex 2205 Stainless Steel,Metal,Stainless Steel,Duplex 2205,ASTM A240,7.75,620,700,450,520,25,293 HB,200,15.0,500,1370,1450,650,400,500,INR,"Food processing, chemical, marine, architectural (Duplex)",-,"High Cr (>11%), Ni, Mo depending on grade",Standard duplex stainless steel.,ASTM Standards,True
Aluminum 1100-O,Metal,Aluminum Alloy,1100-O,ASTM B209,2.7,90,120,35,60,35,23 HB,69,222,900,580,650,150,200,250,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 1100-O, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 1100-H14,Metal,Aluminum Alloy,1100-H14,ASTM B209,2.7,125,155,115,140,9,32 HB,69,222,900,580,650,150,210,260,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 1100-H14, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 2014-T6,Metal,Aluminum Alloy,2014-T6,ASTM B209,2.7,483,513,414,439,13,135 HB,69,155,900,580,650,150,350,450,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 2014-T6, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 2024-T3,Metal,Aluminum Alloy,2024-T3,ASTM B209,2.7,483,513,345,370,18,120 HB,69,121,900,580,650,150,350,450,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 2024-T3, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 2024-T4,Metal,Aluminum Alloy,2024-T4,ASTM B209,2.7,469,499,324,349,19,120 HB,69,121,900,580,650,150,350,450,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 2024-T4, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 3003-O,Metal,Aluminum Alloy,3003-O,ASTM B209,2.7,110,140,40,65,30,28 HB,69,193,900,580,650,150,220,280,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 3003-O, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 3003-H14,Metal,Aluminum Alloy,3003-H14,ASTM B209,2.7,150,180,145,170,8,40 HB,69,193,900,580,650,150,230,290,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 3003-H14, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 5052-H32,Metal,Aluminum Alloy,5052-H32,ASTM B209,2.7,228,258,193,218,12,60 HB,69,138,900,580,650,150,250,320,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 5052-H32, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 5083-O,Metal,Aluminum Alloy,5083-O,ASTM B209,2.7,290,320,145,170,22,75 HB,69,120,900,580,650,150,260,340,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 5083-O, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 5083-H116,Metal,Aluminum Alloy,5083-H116,ASTM B209,2.7,317,347,228,253,10,85 HB,69,120,900,580,650,150,270,350,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 5083-H116, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 6061-O,Metal,Aluminum Alloy,6061-O,ASTM B209,2.7,124,154,55,80,25,30 HB,69,167,900,580,650,150,240,300,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 6061-O, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 6061-T4,Metal,Aluminum Alloy,6061-T4,ASTM B209,2.7,241,271,145,170,22,65 HB,69,167,900,580,650,150,250,310,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 6061-T4, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 6061-T6,Metal,Aluminum Alloy,6061-T6,ASTM B209,2.7,310,340,276,301,12,95 HB,69,167,900,580,650,150,260,320,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 6061-T6, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 6063-T6,Metal,Aluminum Alloy,6063-T6,ASTM B209,2.7,241,271,214,239,12,73 HB,69,200,900,580,650,150,240,300,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 6063-T6, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 7050-T7451,Metal,Aluminum Alloy,7050-T7451,ASTM B209,2.7,524,554,469,494,11,145 HB,69,157,900,580,650,150,500,650,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 7050-T7451, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 7075-O,Metal,Aluminum Alloy,7075-O,ASTM B209,2.7,228,258,103,128,17,60 HB,69,130,900,580,650,150,450,550,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 7075-O, aerospace/industrial grade.",MMPDS / ASM,True
Aluminum 7075-T6,Metal,Aluminum Alloy,7075-T6,ASTM B209,2.7,572,602,503,528,11,150 HB,69,130,900,580,650,150,480,600,INR,"Aerospace, marine, automotive, structural, packaging",-,Al-base,"Aluminum alloy 7075-T6, aerospace/industrial grade.",MMPDS / ASM,True
Titanium Grade 1,Metal,Titanium Alloy,Grade,-,4.51,240,264,170,187,24,120 HB,105,16.0,400,1300,1450,400,2000,3000,INR,High performance components,-,-,Standard titanium alloy grade.,MatWeb / ASM Handbook,True
Titanium Grade 2,Metal,Titanium Alloy,Grade,-,4.51,345,379,275,302,20,160 HB,105,16.4,400,1300,1450,400,2000,3000,INR,High performance components,-,-,Standard titanium alloy grade.,MatWeb / ASM Handbook,True
Titanium Grade 5 (Ti-6Al-4V),Metal,Titanium Alloy,Grade,-,4.43,895,984,828,910,10,330 HB,114,6.7,400,1300,1450,400,2500,4000,INR,High performance components,-,-,Standard titanium alloy grade.,MatWeb / ASM Handbook,True
Titanium Grade 23 (Ti-6Al-4V ELI),Metal,Titanium Alloy,Grade,-,4.43,825,907,760,836,10,310 HB,114,6.7,400,1300,1450,400,3000,4500,INR,High performance components,-,-,Standard titanium alloy grade.,MatWeb / ASM Handbook,True
C11000 Copper,Metal,Copper Alloy,Copper,-,8.89,220,242,69,75,45,40 HRF,117,388,400,1000,1100,400,800,1000,INR,High performance components,-,-,Standard copper alloy grade.,MatWeb / ASM Handbook,True
C26000 Cartridge Brass,Metal,Copper Alloy,Cartridge,-,8.53,330,363,110,121,50,55 HRF,110,120,400,1000,1100,400,700,900,INR,High performance components,-,-,Standard copper alloy grade.,MatWeb / ASM Handbook,True
C51000 Phosphor Bronze,Metal,Copper Alloy,Phosphor,-,8.86,380,418,165,181,48,65 HRF,110,84,400,1000,1100,400,900,1200,INR,High performance components,-,-,Standard copper alloy grade.,MatWeb / ASM Handbook,True
C71500 Copper Nickel 70/30,Metal,Copper Alloy,Copper,-,8.94,370,407,125,137,30,70 HRF,152,29,400,1000,1100,400,1200,1600,INR,High performance components,-,-,Standard copper alloy grade.,MatWeb / ASM Handbook,True
Inconel 600,Metal,Nickel Alloy,600,-,8.47,655,720,310,341,40,150 HB,207,14.8,400,1300,1450,1000,3000,4500,INR,High performance components,-,-,Standard nickel alloy grade.,MatWeb / ASM Handbook,True
Inconel 625,Metal,Nickel Alloy,625,-,8.44,827,909,414,455,30,180 HB,207,9.8,400,1300,1450,1000,3500,5000,INR,High performance components,-,-,Standard nickel alloy grade.,MatWeb / ASM Handbook,True
Inconel 718,Metal,Nickel Alloy,718,-,8.19,1375,1512,1100,1210,15,36 HRC,200,11.4,400,1300,1450,1000,4000,6000,INR,High performance components,-,-,Standard nickel alloy grade.,MatWeb / ASM Handbook,True
Monel 400,Metal,Nickel Alloy,400,-,8.8,515,566,170,187,35,130 HB,179,21.8,400,1300,1450,1000,2500,3500,INR,High performance components,-,-,Standard nickel alloy grade.,MatWeb / ASM Handbook,True
Hastelloy C-276,Metal,Nickel Alloy,C-276,-,8.89,790,869,355,390,40,180 HB,205,10.2,400,1300,1450,1000,4500,6500,INR,High performance components,-,-,Standard nickel alloy grade.,MatWeb / ASM Handbook,True
