name,category,subcategory,grade,standard,density,tensile_strength_min,tensile_strength_max,yield_strength_min,yield_strength_max,elongation,hardness,elastic_modulus,thermal_conductivity,specific_heat,melting_point_min,melting_point_max,max_service_temp,cost_per_kg_min,cost_per_kg_max,cost_currency,applications,equivalent_grades,composition,description,source_url,source_name,is_verified
Inconel 718,Metal,Nickel Alloy,718,ASTM B637,8.19,1035,1240,860,1100,12,40 HRC,205,11.4,435,1260,1336,700,5000,8000,INR,"Gas turbine blades, rocket engines, nuclear fuel assemblies, cryogenic tanks","UNS N07718, NiCr19Fe19Nb5Mo3 (EN)","Ni 50-55%, Cr 17-21%, Fe 17%, Nb 4.75-5.5%, Mo 2.8-3.3%",Most used superalloy in aerospace,,MatWeb,false
Monel 400,Metal,Nickel Alloy,400,ASTM B127,8.80,517,620,240,310,35,140 HBW,180,21.8,427,1300,1350,480,3000,5000,INR,"Marine valves, pump shafts, heat exchangers, chemical piping","UNS N04400, NiCu30Fe (EN)","Ni 63%, Cu 28-34%, Fe 2.5%",Excellent seawater corrosion resistance,,MatWeb,false
Aluminium 5052-H32,Metal,Aluminium Alloy,5052-H32,ASTM B209,2.68,228,280,193,215,12,60 HBW,70.3,138,880,607,649,,200,300,INR,"Marine applications, fuel tanks, pressure vessels, appliances","A95052 (UNS), AlMg2.5 (EN), A5052 (JIS)","Al 95.7-97.7%, Mg 2.2-2.8%, Cr 0.15-0.35%",Best general-purpose marine aluminium,,MatWeb,false
Aluminium 5083-H116,Metal,Aluminium Alloy,5083-H116,ASTM B928,2.66,303,340,215,240,10,,71,117,900,570,640,,280,420,INR,"Ship hulls, military vehicles, cryogenic vessels, LNG tanks","A95083 (UNS), AlMg4.5Mn0.7 (EN), A5083 (JIS)","Al 92-95%, Mg 4.0-4.9%, Mn 0.4-1.0%",High strength marine + cryogenic aluminium,,MatWeb,false
Aluminium 6063-T6,Metal,Aluminium Alloy,6063-T6,ASTM B221,2.70,215,240,170,195,12,73 HBW,68.9,200,900,616,654,,190,280,INR,"Window frames, door frames, architectural extrusions, irrigation pipes","A96063 (UNS), AlMgSi0.5 (EN), A6063 (JIS)","Al 97-99%, Mg 0.45-0.9%, Si 0.2-0.6%",Most common extrusion alloy in India,,MatWeb,false
Magnesium AZ31B,Metal,Magnesium Alloy,AZ31B,ASTM B90,1.77,260,290,200,220,15,,45,96,1020,605,630,,400,700,INR,"Laptop casings, camera bodies, automotive steering columns, drone frames","UNS M11311","Mg 96%, Al 2.5-3.5%, Zn 0.7-1.3%",Lightest structural metal alloy,,MatWeb,false
C26000 Cartridge Brass (70/30),Metal,Copper Alloy,C26000,ASTM B36,8.53,330,450,100,380,55,65 HRB,110,120,375,915,955,,550,750,INR,"Ammunition cartridges, radiator cores, lamp fittings, musical instruments","CuZn30 (EN), C2600 (JIS)","Cu 68.5-71.5%, Zn 28.5-31.5%",Classic deep-drawing brass,,MatWeb,false
PEEK (Polyether Ether Ketone),Polymer,High Performance Thermoplastic,PEEK,ASTM D6262,1.32,100,110,91,100,30,,4.1,0.25,1340,343,343,260,8000,12000,INR,"Aerospace bearings, medical spine implants, oil & gas seals, semiconductor wafer carriers",,"Polyether ether ketone",Ultra high-performance engineering plastic,,MakeItFrom,false
POM / Acetal (Delrin),Polymer,Engineering Thermoplastic,POM-H,ISO 9988,1.41,65,75,60,70,25,85 HRM,3.0,0.31,1470,175,175,100,250,400,INR,"Gears, bearings, conveyor links, zippers, automotive fuel systems, insulin pens",,"Polyoxymethylene (homopolymer)",Excellent dimensional stability + low friction,,MakeItFrom,false
Polycarbonate (PC),Polymer,Engineering Thermoplastic,PC,ISO 7391,1.20,55,75,55,70,100,,2.4,0.20,1200,250,267,120,300,500,INR,"Safety glasses, bulletproof glass, CDs/DVDs, phone cases, automotive headlamps",,"Bisphenol A polycarbonate",Transparent + impact resistant,,MakeItFrom,false
UHMWPE (Ultra High MW Polyethylene),Polymer,Thermoplastic,UHMWPE,ASTM D4020,0.93,35,45,21,28,350,,0.7,0.41,1900,130,136,80,300,600,INR,"Hip/knee implant liners, conveyor guides, dock fenders, body armor panels, chute liners",,"Polyethylene (UHMW, MW > 3.1 million)",Highest impact resistance of any thermoplastic,,MakeItFrom,false
PET (Polyethylene Terephthalate),Polymer,Thermoplastic,PET,ISO 7823,1.38,55,80,55,75,70,,2.8,0.24,1000,250,260,70,110,170,INR,"Water bottles, food packaging, polyester fiber/textiles, film, 3D printing (PETG variant)",,"Polyethylene terephthalate",Most recycled plastic globally,,MakeItFrom,false
Epoxy Resin (Unfilled),Polymer,Thermoset,Epoxy,ASTM D1763,1.15,40,80,,,3,,3.0,0.20,1100,,,120,400,800,INR,"Adhesives, coatings, PCB laminates (FR-4), tooling, potting compounds, composite matrix",,"Bisphenol A diglycidyl ether + hardener",Base resin for most advanced composites,,MakeItFrom,false
Silicone Rubber (VMQ),Polymer,Elastomer,VMQ,ASTM D2000,1.15,7,11,,,400,,0.005,0.27,1200,,,230,500,1500,INR,"Medical tubing, baking molds, automotive gaskets, electronics seals, baby products",,"Polydimethylsiloxane (PDMS)",Widest service temperature range of any elastomer,,MakeItFrom,false
NBR (Nitrile Rubber),Polymer,Elastomer,NBR,ASTM D2000,1.00,12,25,,,400,,0.003,0.25,1500,,,120,200,400,INR,"O-rings, oil seals, fuel hoses, hydraulic seals, gloves (medical/industrial)",,"Acrylonitrile butadiene copolymer",Best oil/fuel resistance of common rubbers,,MakeItFrom,false
EPDM Rubber,Polymer,Elastomer,EPDM,ASTM D2000,0.86,10,20,,,350,,0.004,0.25,1500,,,150,180,350,INR,"Automotive weatherstripping, roofing membranes, radiator hoses, pond liners",,"Ethylene propylene diene monomer",Best weather/ozone resistance,,MakeItFrom,false
Zirconia (Yttria-Stabilized ZrO2),Ceramic,Oxide Ceramic,Y-TZP,ASTM C1161,6.05,200,250,,,0,1200 HV,200,3,450,2680,2680,1500,2000,5000,INR,"Dental crowns, hip implant heads, oxygen sensors, thermal barrier coatings, knife blades",,"ZrO2 + 3 mol% Y2O3",Highest fracture toughness of any ceramic,,CeramTec / Textbook,false
Silicon Nitride (Si3N4),Ceramic,Non-Oxide Ceramic,Si3N4,ASTM C1161,3.20,350,500,,,0,1600 HV,310,30,680,1900,1900,1400,3000,8000,INR,"Turbocharger rotors, bearing balls, cutting inserts, rocket nozzles",,"Si3N4",Best thermal shock resistance of any ceramic,,CeramTec / Textbook,false
Boron Carbide (B4C),Ceramic,Non-Oxide Ceramic,B4C,,2.52,260,350,,,0,2900 HV,460,30,950,2763,2763,600,5000,15000,INR,"Body armor plates (SAPI), nuclear reactor shielding, abrasive blasting nozzles",,"B4C",Third hardest known material (after diamond & cubic BN),,CeramTec / Textbook,false
Soda-Lime Glass,Ceramic,Glass,Soda-Lime,ASTM C1036,2.50,30,50,,,0,545 HV,72,1.0,840,700,750,400,30,60,INR,"Windows, bottles, jars, tableware, mirrors, float glass",,"SiO2 73%, Na2O 14%, CaO 9%, MgO 4%",Most common glass (90% of all glass produced),,Textbook,false
Borosilicate Glass (Pyrex),Ceramic,Glass,Borosilicate,ASTM C1048,2.23,40,60,,,0,590 HV,63,1.1,830,821,821,500,100,250,INR,"Lab glassware, baking dishes, telescope mirrors, pharmaceutical vials, solar tubes",,"SiO2 80%, B2O3 13%, Na2O 4%, Al2O3 2%",Excellent thermal shock resistance,,Textbook,false
Aramid Fiber / Epoxy (Kevlar KFRP),Composite,Fiber Reinforced Polymer,Kevlar 49/Epoxy,,1.38,1100,1400,,,2,,76,0.04,1000,,,180,3000,6000,INR,"Bulletproof vests, aircraft fairings, canoes, racing sails, brake pads",,"Kevlar 49 fiber (60%) + Epoxy resin (40%)",Highest specific tensile strength of any composite,,Textbook / CompositesWorld,false
Basalt Fiber / Epoxy (BFRP),Composite,Fiber Reinforced Polymer,Basalt/Epoxy,,2.10,600,900,,,2.5,,50,0.38,850,,,250,400,900,INR,"Bridge reinforcement, fire-resistant panels, automotive underbody shields, chemical pipes",,"Basalt fiber (60%) + Epoxy resin (40%)",Low cost alternative to carbon fiber,,Textbook / CompositesWorld,false
WC-Co Cemented Carbide (Tungsten Carbide),Composite,Metal Matrix Composite,WC-6Co,ISO 513,14.95,1200,1800,,,0,1600 HV,620,80,240,2870,2870,800,4000,12000,INR,"Cutting tool inserts, drill bits, mining picks, wear plates, dies",,"WC 94%, Co 6%",Hardest common industrial material,,Textbook,false
Al2O3 Fiber / Al Matrix (AMC),Composite,Metal Matrix Composite,Al-MMC,,2.95,350,450,250,350,3,,120,150,800,660,660,350,800,2000,INR,"Brake rotors, pistons, connecting rods, satellite structures, bicycle frames",,"Al alloy matrix + 20% Al2O3 fibers",Lightweight + high stiffness for automotive,,Textbook,false
Concrete (M25 Grade),Composite,Cementitious,M25,IS 456,2.40,2,4,,,0,,25,1.7,880,,,300,5,10,INR,"Residential buildings, commercial structures, roads, dams, foundations","C25/30 (EN), 3000 psi (US)","Cement 13%, Sand 27%, Aggregate 47%, Water 13%",Most used construction material in India,,BIS IS 456,false
Plywood (BWR Grade),Composite,Wood Composite,BWR,IS 303,0.55,30,50,20,35,2,,8,0.13,1700,,,60,50,120,INR,"Interior furniture, kitchen cabinets, partitions, shelving, doors",,"Wood veneers + phenol formaldehyde resin",Boiling Water Resistant grade for Indian kitchens,,BIS IS 303,false
Mild Steel (Galvanized) GP Sheet,Metal,Coated Steel,GP,IS 277,7.85,270,350,250,280,20,,200,50,480,1420,1460,,65,95,INR,"Roofing sheets, ducting, electrical panels, auto body panels, storage tanks","SGCC (JIS), DX51D+Z (EN)","Fe 98.5% + Zinc coating (Z120-Z275 g/m2)",Most common roofing/cladding material in India,,BIS IS 277,false
Hardox 400 Wear Plate,Metal,Alloy Steel,Hardox 400,SSAB Standard,7.85,1250,1250,1000,1000,10,400 HBW,210,40,460,1420,1460,,150,250,INR,"Tipper truck bodies, crusher liners, conveyor chutes, bucket lips, mining equipment",,"Fe 97%, C 0.32%, Si 0.7%, Mn 1.6%, Cr 1.4%, Ni 1.0%, Mo 0.60%",Industry standard abrasion resistant plate,,SSAB,false
SS 202 Stainless Steel,Metal,Stainless Steel,202,IS 15842,7.80,520,680,260,350,40,85 HRB,200,16,500,1400,1450,,180,280,INR,"Railway coach interiors, kitchen utensils, elevator panels, decorative trim","SUS 202 (JIS), X12CrMnNiN17-7-5 (EN)","Fe 67%, Cr 17-19%, Mn 7.5-10%, Ni 4-6%",Budget alternative to SS 304 in India,,MatWeb,false
SS 430 Stainless Steel,Metal,Stainless Steel,430,ASTM A240,7.74,450,520,205,275,22,83 HRB,200,26.1,460,1425,1510,,160,250,INR,"Kitchen sinks (budget), washing machine drums, automotive trim, dishwashers","SUS 430 (JIS), X6Cr17 (EN)","Fe 81%, Cr 16-18%",Magnetic ferritic SS - cheapest SS grade,,MatWeb,false
Hastelloy C276,Metal,Nickel Alloy,C276,ASTM B574,8.89,690,830,310,380,40,194 HBW,205,10.2,427,1325,1370,1040,6000,10000,INR,"Flue gas desulfurization, chemical reactors, pollution control, pharmaceutical","UNS N10276, NiMo16Cr15W (EN)","Ni 57%, Mo 15-17%, Cr 14.5-16.5%, W 3-4.5%, Fe 4-7%",Ultimate chemical corrosion resistance,,MatWeb,false
Copper-Nickel 90/10 (C70600),Metal,Copper Alloy,C70600,ASTM B171,8.94,275,380,105,170,30,,120,50,380,1100,1145,,700,1000,INR,"Seawater piping, ship hulls, desalination plants, offshore oil platforms","CuNi10Fe1Mn (EN), C7060 (JIS)","Cu 88.6%, Ni 9-11%, Fe 1-1.8%",Best seawater corrosion resistance in copper alloys,,MatWeb,false
Phosphor Bronze (C51000),Metal,Copper Alloy,C51000,ASTM B103,8.86,380,520,175,435,48,80 HRB,110,84,380,1000,1050,,700,950,INR,"Springs, electrical contacts, bellows, washers, bushings, diaphragms","CuSn6 (EN), C5101 (JIS)","Cu 93.7-95.6%, Sn 4.2-5.8%, P 0.03-0.35%",Excellent spring properties + fatigue resistance,,MatWeb,false
Polyimide (Kapton),Polymer,High Performance Thermoplastic,PI,ASTM D5213,1.42,70,120,,,8,,2.5,0.12,1090,,,360,15000,30000,INR,"Flexible PCBs, spacecraft insulation, electric motor slot liners, high-temp tape",,"Poly(4,4-oxydiphenylene-pyromellitimide)",Highest service temperature polymer film,,DuPont / MakeItFrom,false
PPS (Polyphenylene Sulfide),Polymer,High Performance Thermoplastic,PPS,ASTM D4067,1.35,75,85,65,75,2,,3.8,0.29,1050,280,285,220,800,1500,INR,"Automotive water pumps, EV motor housings, chemical valves, electrical connectors",,"Poly(p-phenylene sulfide)",Excellent chemical resistance at high temperatures,,MakeItFrom,false
TPU (Thermoplastic Polyurethane),Polymer,Thermoplastic Elastomer,TPU,ASTM D2240,1.12,25,55,,,500,,0.02,0.19,1600,,,100,250,500,INR,"Phone cases, shoe soles, ski boots, conveyor belts, 3D printing filament, cable jackets",,"Polyurethane (thermoplastic)",Bridges gap between rubber and hard plastics,,MakeItFrom,false
Viton (FKM Fluoroelastomer),Polymer,Elastomer,FKM,ASTM D2000,1.80,10,16,,,200,,0.008,0.23,1100,,,200,2000,4000,INR,"O-rings for jet fuel, chemical pump seals, semiconductor processing, automotive fuel systems",,"Vinylidene fluoride copolymer",Best fuel/chemical resistance of any rubber,,DuPont / MakeItFrom,false
Porcelain (Electrical Grade),Ceramic,Traditional Ceramic,C120,IEC 60672,2.40,35,50,,,0,600 HV,70,1.5,800,1250,1350,900,40,100,INR,"High voltage insulators, spark plugs, electrical switchgear, lab crucibles",,"SiO2 65%, Al2O3 25%, K2O/Na2O 5%, CaO/MgO 5%",Backbone of electrical power distribution,,Textbook,false
Graphite (Isostatic Grade),Ceramic,Carbon,IG-11,ASTM C781,1.77,30,50,,,1,,10,120,720,3600,3600,500,500,1500,INR,"EDM electrodes, crucibles for metal casting, nuclear moderator, semiconductor jigs, heat sinks",,"C 99.9%",Excellent thermal conductivity + machinability,,Textbook,false
